term,suspicionScore,issues,mediaType,mediaUrl,sourceUrl
"IMPROVE",12,"video_despite_gif_candidate,selected_video_has_sentence_context","video","https://www.lifeprint.com/asl101/videos/your-sign-improve-how.mp4","https://www.lifeprint.com/asl101/pages-signs/i/improve.htm"
"INCREASE",12,"video_despite_gif_candidate,selected_video_has_sentence_context","video","https://www.lifeprint.com/asl101/videos/recently-increase-you.mp4","https://www.lifeprint.com/asl101/pages-signs/i/increase.htm"
"LOW",12,"video_despite_gif_candidate,selected_video_has_sentence_context","video","https://www.lifeprint.com/asl101/videos/low-your-house-payment-low.mp4","https://www.lifeprint.com/asl101/pages-signs/l/low.htm"
"NUMBER",12,"video_despite_gif_candidate,selected_video_has_sentence_context","video","https://www.lifeprint.com/asl101/videos/quiz-1-number-1-deaf-number-2-who.mp4","https://www.lifeprint.com/asl101/pages-signs/n/number.htm"
"OCEAN/sea",12,"video_despite_gif_candidate,selected_video_has_sentence_context","video","https://www.youtube.com/embed/lCbngn_enQM?rel=0","https://www.lifeprint.com/asl101/pages-signs/o/ocean.htm"
"PARKING-LOT",12,"video_despite_gif_candidate,selected_video_has_sentence_context","video","https://www.lifeprint.com/asl101/videos/parking-lot-supervisors-earn-a-lot.mp4","https://www.lifeprint.com/asl101/pages-signs/p/parking-lot.htm"
"SEND",12,"video_despite_gif_candidate,selected_video_has_sentence_context","video","https://www.lifeprint.com/asl101/videos/your-church-send-missionaries.mp4","https://www.lifeprint.com/asl101/pages-signs/s/send.htm"
"SENIOR",12,"video_despite_gif_candidate,selected_video_has_sentence_context","video","https://www.lifeprint.com/asl101/videos/senior-girls-stuck-up-why.mp4","https://www.lifeprint.com/asl101/pages-signs/s/senior.htm"
"SKINNY",12,"video_despite_gif_candidate,selected_video_has_sentence_context","video","https://www.lifeprint.com/asl101/videos/your-grandfather-skinny.mp4","https://www.lifeprint.com/asl101/pages-signs/s/skinny.htm"
"STRONG",12,"video_despite_gif_candidate,selected_video_has_sentence_context","video","https://www.lifeprint.com/asl101/videos/most-farmer-strong.mp4","https://www.lifeprint.com/asl101/pages-signs/s/strong.htm"
"TAKE-AWAY",12,"video_despite_gif_candidate,selected_video_has_sentence_context","video","https://www.lifeprint.com/asl101/videos/eighteen-minus-five-equals-what.mp4","https://www.lifeprint.com/asl101/pages-signs/t/takeaway.htm"
"THIN",12,"video_despite_gif_candidate,selected_video_has_sentence_context","video","https://www.lifeprint.com/asl101/videos/most-post-office-employees-thin-why.mp4","https://www.lifeprint.com/asl101/pages-signs/t/thin.htm"
"don't-UNDERSTAND",10,"manual_override,covered_by_regression,video_despite_gif_candidate,multiple_video_candidates","video","https://www.youtube.com/embed/_90JOGT0vfs?rel=0","https://www.lifeprint.com/asl101/pages-signs/u/understand.htm"
"MONDAY",10,"manual_override,covered_by_regression,video_despite_gif_candidate,multiple_video_candidates","video","https://www.youtube.com/embed/lXVIBinAmQ8?rel=0","https://www.lifeprint.com/asl101/pages-signs/m/monday.htm"
"OH-I-SEE",10,"manual_override,covered_by_regression,video_despite_gif_candidate,multiple_video_candidates","video","https://www.youtube.com/embed/zi9T8_Xm2v0?rel=0","https://www.lifeprint.com/asl101/pages-signs/o/oh-i-see.htm"
"STRAIGHT-HAIR",10,"manual_override,covered_by_regression,video_despite_gif_candidate,multiple_video_candidates","video","https://www.youtube.com/embed/jas_AwA_h9M?rel=0","https://www.lifeprint.com/asl101/pages-signs/h/hair.htm"
"WASHING-MACHINE",10,"manual_override,covered_by_regression,video_despite_gif_candidate,multiple_video_candidates","video","https://www.youtube.com/embed/3UmDXnQkUTY?rel=0","https://www.lifeprint.com/asl101/pages-signs/w/washingmachine.htm"
